RECRD,VESSLTERMS,FEATURE_TYPE,LATDEC,LONDEC,GP_QUALITY,DEPTH,SOUNDING_TYPE,YEARSUNK,HISTORY
9791,UNKNOWN,"Submerged, dangerous",18.303072,-64.973256,High,22.5,Meters,,"HISTORY
  H10506/93-- OPR-I173-MI; SUBMERGED WRECK LOCATED BY SIDE SCAN ì
SONAR. DIVERS DESCRIBE A WRECKED SHIP 70 X 20 Feets. LD (PNEUMO) ì
OF 22.5 METERS (74 Feets) AT MLLW JUST SOUTH OF FISH HAVEN (AUTH ì
DEPTH OF 60 Feets). EVALUATOR RECOMMENDS CHARTING A SUBMERGED ì
WRECK WITH A 22.5 LD AS SURVEYED (74 WK). (ENT 6/27/96, SJV)"
8536,UNKNOWN,"Submerged, dangerous",18.303086,-64.919133,High,17.6,Meters,,"HISTORY
  CL397/32-- LETTER, E.L. SIMMONS, AGENT, HARBOR DEPT., ST. ì
THOMAS TO U.S.C. & G.S. DATED MAY 8, 1932. LIGHTS ON SUNKEN DRY ì
DOCK DISCONTINUED (DRY DOCK REMOVED). FIVE PONTOONS TOWED OUT OF ì
HARBOR AND SUNK. DANGEROUS SUBMERGED WRECK, PA, PLOTTED IN LAT. ì
18-18-08.5N, LONG. 64-55-13.0W (SCALED FROM CHART 25649, ì
1:10,000-SCALE, NAD 83). PONTOON IS 100 X 50 X 10 Feets. UNCHARTED ì
AS OF 6/11/93. BROUGHT TO ATTENTION OF N/CG22X3 BY N/CG241 FOR ì
REAPPLICATION OF CL397/32 AND POSSIBLE N. TO M.
  NM22/32--
  (ENT 6/11/93, SJV)
  H10505/93-- OPR-I173-MI; LOCATED BY SIDE SCAN SONAR. DIVERS ì
DESCRIBE A SUNKEN PONTOON/BARGE MEASURING 31.7 X 15.5 X 3.0 ì
METERS IN LAT. 18-18-11.018N, LONG. 64-55-09.045W. LD (PNEUMO) OF ì
17.63 METERS IN 21 METERS OF WATER. EVALUATOR RECOMMENDS CHARTING ì
57 WK (BARGE) AS SURVEYED. (UP 4/11/96, SJV)
  S00011/03; S-I637-WH;  The hydrographer located the wreck at position Lat:
18°18'11.11"" N, Long: 064°55'08.88"" W with a least depth of 58ft."
8537,UNKNOWN,"Submerged, dangerous",18.311281,-64.915783,High,7.6,Meters,,"HISTORY
  CL379/32-- LETTER, E.L. SIMMONS, AGENT, HARBOR DEPT., ST.THOMAS ì
TO U.S.C. & G.S. DATED MAY 8, 1932. LIGHTS ON SUNKEN DRY DOCK ì
DISCONTINUED (DRY DOCK REMOVED). FIVE PONTOONS TOWED OUT OF ì
HARBOR AND SUNK. PONTOON IS 100 X 50 X 10 Feets. CHARTED AS A ì
DANGEROUS SUBMERGED WRECK.
  H8877/66-- OPR-423; NOT INVESTIGATED. HYDROGRAPHER RECOMMENDS ì
SCALING ITS POSITION FROM PHOTOGRAPH 65 L 1553.
  H9271/72-- OPR-423; DRIFT SOUNDING OF 29 Feets OBTAINED IN LAT. ì
18-18-47.67N, LONG. 64-54-58.74W. RECOMMENDS FURTHER ì
INVESTIGATION.
  NM22/32--
  (ENT 6/11/93, SJV)
  H10505/93-- OPR-I173-MI; LOCATED BY SIDE SCAN SONAR. DIVERS ì
DESCRIBE A SUNKEN PONTOON/BARGE MEASURING 33 X 15 X 2.7 METERS IN ì
LAT. 18-18-40.660N, LONG. 64-54-56.361W. LL LD OF 8.0 METERS IN ì
10.5 METERS OF WATER. FATHOMETER DEPTH OF 7.6 METERS (25 Feets) ì
WAS OBTAINED IN LAT. 18-18-40.608N, LONG. 64-54-56.824W. ì
EVALUATOR RECOMMENDS REPOSITIONING CHARTED DANGEROUS SUBMERGED ì
WRECK TO SURVEY POSITION AND CHARTING AS A 25 WK. (UP 4/11/96, ì
SJV)"
8544,UNKNOWN,"Submerged, dangerous",18.311511,-64.936375,High,14.6,Meters,,"HISTORY
  LNM4/83-- ADD SUBMERGED WRECK IN APPROX. LAT. 18-18-46.5N, LONG. 64-56-09.2W.
  CL238/83-- FROM C.O. NOAA SHIP MT. MITCHELL TO MR. AUSTIN MONSANTO, MARINE MANAGER, V.I. PORT AUTHORITY, RE. SUNKEN BARGE INVESTIGATION, DATED FEB. 22, 1983. WRECK LOCATED IN POSITION LAT. 18-18-51.4N, LONG. 64-56-12.0W. DIVERS REPORT LD OF 39.7 Feets AT MLW IN CHARTED DEPTHS OF 58-59 Feets. BARGE LIES UPSIDE DOWN, BOW FACING WEST WITH BOTH FACES OF A MOVABLE BOW GATE EXTENDING WESTERLY. BARGE IS 160 X 40 X 14 Feets WITH A 3-5-FOOT HEAVY VERTICAL RAILING ON WHICH SECTIONS OF THE BARGE ARE RESTING. NARROW GASH VISIBLE ON STARBOARD SIDE, AFT, 7-8 Feets IN LENGTH. SEVERAL LENGTHS OF SYNTHETIC HAWSER ARE SUSPENDED ABOVE THE BARGE WITHIN 15 Feets OF THE SURFACE. POSITION OBTAINED BY SEXTANT ANGLES FROM LAUNCH ALONGSIDE A BUOY RESTING DIRECTLY OVER THE WRECK. ATTACHED TO MT. MITCHELL'S LETTER IS CORRESPONDENCE FROM COE. COE DOES NOT CONSIDER WRECK A DANGER TO TRAFFIC IN AND OUT OF ST. THOMAS HARBOR CONSIDERING THE WRECK'S POSITION AND LD. COE HAS NO REMOVAL PLANS. HOWEVER, REMOVAL OF WRECK WAS BEING DISCUSSED AT THAT TIME.
  LNM9/83-- BARGE PREVIOUSLY REPORTED SUNK IN ABOUT 60 Feets IN APPROX. POSITION 18-18-46.5N, LONG. 64-56-09.2 WITH 39 Feets OVER IT. SEVERAL LENGTHS OF SYNTHETIC HAWSER REPORTED 15 Feets BENEATH THE SURFACE. MARKED BY A BLACK CAN, NO. 1.
  LNM12/85-- WRECK PREVIOUSLY REPORTED SUBMERGED IN CHARLOTTE AMALIE HARBOR IS IN POSITION LAT. 18-18-46.5N, LONG. 64-56-09.0W. 35 Feets OVER HULL. (ENT 10/3/93, SJV)
  H10505/93-- OPR-I173-MI; SIDE SCAN SONAR LOCATED ITEM. DIVERS DESCRIBE A LARGE BARGE OVERTURNED AND LYING FLAT ON THE BOTTOM IN APPROX. 17 METERS OF WATER. BARGE MEASURED 46.9 X 13.1 X 3 METRS. LD (PNEUMO) OF 14.6 METERS IN LAT. 18-18-41.463N, LONG. 64-56-11.170W. EVALUATOR RECOMMENDS REVISING CHARTED WRECK TO AS SURVEYED AND CHARTING AS A 48 WK. (UP 4/11/96, SJV)
  S00011/03; S-I637-WH-03-- This item was noted during main scheme hydrography and correlated precisely with AWOIS Item 8544, a charted Wreck. SWMB revealed a least depth of 48ft (14.59m corrected with preliminary unverified tides.) in pos 
Lat: 18°18'41.44"" N, Long: 064°56'10.95"" W.  On DN 164 Divers verified the position of this Wreck noting a large supply barge laying upside down in a general east/west direction. Updated 8/07 MCR"
8540,UNKNOWN,"Submerged, dangerous",18.3116,-64.91885,High,36,Feets,,"HISTORY
  CL379/32-- LETTER, E.L. SIMMONS, AGENT, HARBOR DEPT., ST. ì
THOMAS TO U.S.C. & G.S. DATED MAY 8, 1932. LIGHTS ON SUNKEN DRY ì
DOCK DISCONTINUED (DRY DOCK REMOVED). FIVE PONTOONS TOWED OUT OF ì
HARBOR AND SUNK. CHARTED AS A DANGEROUS SUBMERGED WRECK. PONTOON ì
IS 100 X 50 X 10 Feets.
  H8877/66-- OPR-423; NOT INVESTIGATED. HYDROGRAPHER RECOMMENDS ì
SCALING POSITION FROM PHOTOGRAPH NO. 65 L 1553.
  H9271/72-- OPR-423; 39-FOOT ECHO SOUNDER DEPTH ON WRECK LOCATED ì
IN LAT. 18-18-48.0N, LONG. 64-55-08.8W (SCALED FROM SMOOTH SHEET, ì
1:10,000-SCALE). (ENT 6/11/93, SJV)
  H10505/93-- OPR-I173-MI; LOCATED BY SIDE SCAN SONAR. DIVERS ì
DESCRIBE A SUNKEN PONTOON/BARGE MEASURING 33 X 15 X 2.7 METERS IN ì
LAT. 18-18-41.79N, LONG. 64-55-07.84W. LL LD OF 11.3 METERS IN ì
14.15 METERS. EVALUATOR RECOMMENDS REVISING CHARTED WRECK AS ì
SURVEYED AND CHART AS A 37 WK. (UP 4/11/96, SJV)
  S00011/03; S-I637-WH;  The hydrographer located the wreck at position Lat: 18°18'41.76"" N, Long: 064°55'07.86"" W with a least depth of 36ft."
8538,UNKNOWN,"Submerged, dangerous",18.312044,-64.915575,High,7.2,Meters,,"HISTORY
  CL379/32-- LETTER, E.L. SIMMONS, AGENT, HARBOR DEPT., ST. ì
THOMAS TO U.S. C & G.S. DATED MAY 8, 1932. LIGHTS ON SUNKEN DRY ì
DOCK DISCONTINUED (DRY DOCK REMOVED). FIVE PONTOONS TOWED OUT OF ì
HARBOR AND SUNK. CHARTED AS A DANGEROUS SUBMERGED WRECK. PONTOON ì
IS 100 X 50 X 10 Feets.
  H8877/66-- OPR-423; NOT INVESTIGATED. HYDROGRAPHER RECOMMENDS ì
POSITION SCALED FROM PHOTOGRAPH NO. 65 L 1553.
  H9271/72-- OPR-423; ECHO SOUNDER LD OF 25 Feets OBTAINED IN LAT. ì
18-18-50.09N, LONG. 64-54-57.38W. (ENT 6/11/93, SJV)
  H10505/93-- OPR-I173-MI; LOCATED BY SIDE SCAN SONAR. DIVERS ì
DESCRIBE A SUNKEN PONTOON/BARGE MEASURING 33 X 15 X 2.7 METERS IN ì
LAT. 18-18-43.356N, LONG. 64-54-56.068W. LL LD OF 7.2 METERS IN ì
10.6 METERS OF WATER. EVALUATOR RECOMMENDS REVISING CHARTED WRECK ì
TO SURVEY POSITION AND CHARTING AS A 23 WK. (UP 4/11/96, SJV)"
8539,UNKNOWN,"Submerged, dangerous",18.312439,-64.916947,High,8,Meters,,"HISTORY
  CL397/32-- LETTER, E.L. SIMMONS, AGENT, HARBOR DEPT., ST. ì
THOMAS TO U.S.C. & G.S., DATED MAY 8, 1932. LIGHTS ON SUNKEN DRY ì
DOCK DISCONTINUED (DRY DOCK REMOVED). FIVE PONTOONS TOWED OUT OF ì
HARBOR AND SUNK. CHARTED AS A DANGEROUS SUBMERGED WRECK. PONTOON ì
IS 100 X 50 X 10 Feets.
  H8877/66-- OPR-423; INVESTIGATED VISUALLY BY DIVERS AND ECHO ì
SOUNDER. APPEARS TO BE A SUNKEN BARGE APPROX. 15 X 25 METERS ì
EXTENDING 8 Feets OFF THE BOTTOM. LOCATED IN LAT. 18-18-51.8N, ì
LONG. 64-55-02.2W (SCALED FROM SMOOTH SHEET, PUERTO RICO DATUM). ì
DEPTH OF 23 Feets (METHOD NOT STATED).
 H9271/72-- OPR-423; 25 Feets LOCATED IN LAT. 18-18-51.86N, LONG. ì
64-55-02.35W. 23-F00T DEPTH BROUGHT FORWARD FROM H8877/66. (ENT ì
6/11/93, SJV)
  H10505/93-- OPR-I173-MI; LOCATED BY SIDE SCAN SONAR. DIVERS ì
DESCRIBE A SUNKEN PONTOON/BARGE MEASURING 33 X 15 X 2.7 METERS IN ì
LAT. 18-18-44.776N, LONG. 64-55-01.005W. LL LD OF 8.0 METERS. ì
EVALUATOR RECOMMENDS REVISING CHARTED WRECK TO SURVEYED POSITION ì
AND CHARTING AS A 26 WK. (UP 4/11/96, SJV)"
9807,WIT SHOAL,"Submerged, dangerous",18.313347,-65.041389,High,8.7,Meters,,"HISTORY
  H10506/93-- OPR-I173-MI; SUNKEN WRECK OF THE M/V ""WIT SHOAL"" ì
(KNOWN BY LOCAL DIVE MASTERS). APPROX. 400 Feets LONG, 60 Feets ì
WIDE. FATHOMETER LD OF 8.67 METERS IN LAT. 18-18-48.051N, LONG. ì
65-02-29.003W. EVALUATOR RECOMMENDS CHARTING A 28 WK AS SURVEYED. ì
(ENT 7/2/96, SJV)"
9794,UNKNOWN,"Submerged, dangerous",18.314283,-64.962839,High,16.1,Meters,,"HISTORY
  H10506/93-- OPR-I173-MI; LOCATED BY SIDE SCAN SONAR. DIVERS ì
DESCRIBE THE WRECK OF A SUNKEN BARGE (KEEL AND RIBS) 26 X 21 ì
Feets. 2-FOOT SPACING BETWEEN RIBS. LD (PNEUMO) OF 16.1 METERS (53 ì
Feets) AT MLLW. EVALUATOR RECOMMENDS CHARTING A 53 WK AS SURVEYED ì
IN LAT. 18-18-51.420N, LONG. 64-57-46.215W. (ENT 6/27/96, SJV)"
9789,UNKNOWN,"Submerged, dangerous",18.317947,-64.969697,High,14.6,Meters,,"HISTORY
  H10506/93-- OPR-I173-MI; SIDE SCAN SONAR LOCATED SUBMERGED ì
WRECK. DIVERS DESCRIBE AN LCU (LANDING CRAFT UNIT) 13.7 X 5 ì
METERS ORIENTED N-S. LD (PNEUMO) OF 14.6 METERS OBTAINED ON PILOT ì
HOUSE IN LAT. 18-19-04.613N, LONG. 64-58-10.909W. EVALUATOR ì
RECOMMENDS NO CHANGE IN CHARTING STATUS SINCE ITEM WAS CHARTED ON ì
THE 17TH EDITION OF CHART 25649 THROUGH A LNM: 14.5 WK (47 Feets). ì
(ENT 6/27/96, SJV)"
8560,ESCAPADE,"Submerged, dangerous",18.321883,-64.955142,High,0.2,Meters,,"HISTORY
  LNM32/82-- ADD DANGEROUS SUBMERGED WRECK ""ESCAPADE"" IN APPROX. ì
POSITION LAT. 18-19-25N, LONG. 64-57-22W. (ENT 6/22/93, SJV)
  H10506/93-- OPR-I173-MI; SUBMERGED WRECK 20.4 X 6.0 METERS ì
LOCATED 65 METERS FROM CHARTED POSITION. LL LD OF 0.2 METERS IN ì
LAT. 18-19-18.781N, LONG. 64-57-18.509W. EVALUATOR RECOMMENDS ì
DELETING SUBMERGED WRECK, PA, AND CHARTING A WRECK AWASH AS ì
SURVEYED. (UP 4/22/96, SJV)"
8543,UNKNOWN,"Submerged, dangerous",18.323364,-64.923397,High,6.3,Meters,,"HISTORY
  LNM45/77-- ADD SUBMERGED WRECK ""13 FT REP 1977"" IN APPROX. ì
POSITION LAT. 18-19-24N, LONG. 64-55-24W. (ENT 6/14/93, SJV)
  H10505/93-- OPR-I173-MI; DIVERS LOCATED WOODEN REMAINS OF ì
VESSEL NEAR CHARTED POSITION IN  LAT. 18-19-24.109N, LONG. ì
64-55-24.228W. LL LD OF 6.3 METERS IN 7.1 METERS OF WATER. DIVERS ì
DESCRIBE A MAST-LIKE STRUCTURE, SCATTERED DEBRIS, AND OLD ENGINE ì
PARTS. ONE PIECE MEASURED 8.83 X 1.2 METERS. EVALUATOR RECOMMENDS ì
CHARTING A 20 WK AS SURVEYED AND DELETING CHARTED DANGEROUS ì
SUBMERGED WRECK (13 FT REP 1977) ED. (UP 4/11/96, SJV)"
11856,UNKNOWN,"Submerged, dangerous",18.323817,-64.959108,High,55,Feets,,"HISTORY
  H11146/02-- S-I637-WH; UNCHARTED WRECK LOCATED DURING MAIN SCHEME HYDROGRAPHY.  SWMB OBTAINED A LD OF 55 Feets IN LAT. 18-19-25.74N, LONG. 64-57-32.79W. HYDROGRAPHER STATES THAT DIVERS CONFIRMED LOCATION AND DESCRIBED A VERY OLD DILAPIDATED WATER BARGE ALMOST ENTIRELY BURIED WITHIN THE SANDT BOTTOM. EVALUATOR RECOMMENDS CHARTING A NON-DANGEROUS WRECK (55WK) QS SURVEYED. (ENT 4/28/03, SJV)"
9785,UNKNOWN,"Submerged, dangerous",18.325164,-64.928556,High,9.9,Meters,,"HISTORY
  H10505/93-- OPR-I173-MI; SIDE SCAN SONAR CONTACT. DIVERS DESCRIBE A FIBERGLASS BOW SECTION LEANING TO ONE SIDE, 1.79 METERS OFF THE BOTTOM. LL LD OF 9.9 METERS (32 Feets) IN 11 METERS OF WATER. ITEM WAS 4.8 METERS LONG AND MOVED SLIGHTLY WITH THE WAVE SURGE. LARGE CRACK IN MIDDLE OF PORT SIDE. THE HYDROGRAPHER NOTED THAT THIS ITEM LIES VERY CLOSE TO THE RANGE LINE USED BY DEEP DRAFT VESSELS ENTERING ST. THOMAS HARBOR. EVALUATOR RECOMMENDS CHARTING 32 WK IN LAT. 18-19-30.587N, LONG. 64-55-42.798W AND DELETING ""PA"" FROM THE 17TH EDITION OF CHART 25649. (ENT 6/24/96, SJV)
  CL1514/95--12/19/95; ITEM WAS REMOVED AND TRUCKED TO LOCAL DUMP.  PLEASE REMOVE THIS ITEM FROM CHART 25649 AT LATITUDE 18-19-59.939N, LONGITUDE 64-56-42.722W (NAD 83).  (UPDATED 5/02, PSH)"
9806,MISS OPPORTUNITY,"Submerged, dangerous",18.326194,-64.99355,High,16.2,Meters,,"HISTORY
  H10506/93-- OPR-I173-MI; SUNKEN BARGE ""MISS OPPORTUNITY"". ì
APPROX. 400 Feets LONG, 40 Feets WIDE. FATHOMETER LD OF 16.2 METERS ì
(53 Feets) AT MLLW. LOCATED WITHIN FISH HAVEN LIMITS AND OUTSIDE ì
THE LIMITS OF PROJECT AREA FOR OPR-I173 (WRECK KNOWN TO LOCAL ì
DIVE MASTERS). AUTH. MIN. DEPTH OF FISH HAVEN IS 65 Feets (19.8 ì
METERS). EVALUATOR RECOMMENDS NO CHANGE IN CHARTING STATUS. ì
CHARTED AS A 53 WK IN LAT. 18-19-34.298N, LONG. 64-59-36.776W ON ì
THE 17TH EDITION OF CHART 25649. (ENT 7/2/96, SJV)"
11853,UNKNOWN,"Submerged, dangerous",18.326253,-64.957542,High,23,Feets,,"HISTORY
  H11146/02-- S-I637-WH; UNCHARTED WRECK LOCATED DURING MAIN SCHEME HYDROGRAPHY. SWMB LD OF 23 Feets IN LAT. 18-19-34.51N, LONG. 64-57-27.15W. HYDROGRAPHER STATED THAT DIVERS CONFIRMED LOCATION. EVALUATOR RECOMMENDS CHARTING A WK23 AS SURVEYED. (ENT 4/28/03, SJV)"
